username,review,rating,sentiment
cs_rahul_prasad,"The last time director SS Rajamouli managed to wow the audience was in 2017 with the film Baahubali: The Conclusion. It took him 5 long years for him to conceptualise his next film RRR, shoot and bring it to the silver screen. Pulling off a multi-starrer with Jr NTR and Ram Charan in the lead roles might seem an accomplishment in itself. But Rajamouli manages to deliver even when it comes to the story.RRR is set in the 1920s and revolves around the lives of two revolutionaries - Alluri Seetharama Raju who waged an armed campaign against the British and Komaram Bheem a tribal from the Gond tribe who fought against atrocities heaped on his people. There is no historical evidence to show that the two ever met or fought together but Rajamouli reimagines history and weaves a story around their meeting.RRR runs on a relatively simple premise. There's 'fire' - an angry, young police officer Ramaraju (Ram Charan) who is both revered and feared by the British. He has done their every bidding for years, he is the one they sic on anyone they want to capture and yet, he is the one who's never given enough respect due to the colour of his skin. Then there's 'water' - sweet, simple, innocent Bheem (Jr NTR) who has brute strength but uses it only when it serves his purpose. He's a Gond tribal who has come to the city to rescue a young girl called Malli, who was taken away by Lady Scott (Alison Doody), to be the singing doll 'on (her) mantelpiece'. But that is just the beginning of the tale.Rajamouli's new calling cards seem to be building new world. Because, despite being based on two revolutionaries from history, RRR has a story that's completely fictional. Delhi of the 1920s becomes his new canvas. Bheem might have fought against the Nizams, so much so that one of them finds it imperative to warn the British that he's not to be taken lightly. But he also finds shelter with Muslims in Delhi. Ramaraju might seem like a well-trained soldier who will follow instructions blindly but he also seems to have a past no one but his uncle (Samuthirakani) knows about. Scott (Ray Stevenson) might believe 'brown rubbish' deserve even a bullet to be wasted on them but Jennifer (Olivia Morris) seems more empathetic. This is not the freedom movement where you turn the other cheek, this is the one where you use your hands as weapons.The first half of RRR runs like clockwork. There's the emotional core in Malli, there's the song and dance with Naatu Naatu (it'll make you smile) and a friendship explored through Dosti, there's even a few laughs whenever Bheem tries to befriend Jennifer. Cinematic liberties are taken but they don't seem as noticable as in the later portions, half where the film falters a bit. The way Ramaraju's fiancé Sita (Alia Bhatt) is woven into the narrative, apart from Ram Charan's transformation to another look also seem forced in a tale that was smooth sailing. After the way Bheem is set up effortlessly despite nothing much being told, the way Ramaraju's story unfolds seems strained. The climax leaves more to be desired. The good thing however is that the film manages to surprise you. Rajamouli also manages to use certain tropes set up in the initial portions of the film in the latter portions cleverly.None-the-less Rajamouli manages to pull off something people have been pining for - a commercial, action drama that will keep you thoroughly entertained - which it does. The length also doesn't prove to be a hindrance, thanks to a tight screenplay. The VFX in certain portions could've been better. Jr NTR pulls off his career's best performance. He's charming as Bheem, especially in the emotional bits and his desperation to find Malli comes through well, so does his love for Ramaraju. Ram Charan also does well, pouring soul into the transformations his character goes through. Tarak and Charan's roles require them to have chemistry, which they do. Alia Bhatt, Olivia Morris, Samuthirakani, Ajay Devgn, Shriya Saran and others play their parts well. Olivia in particular manages to win your heart. Alison and Ray breeze through their roles. Keeravani's OST for the film might not be for everyone but he does well with the BGM. Senthil's camerawork is a delight too.RRR is made for a big screen viewing. The cinematography and visual aesthetics paint every frame in a radiating manner. Oodles of flamboyance is something one has come to expect from Rajamouli now. The background score thuds with relentless urgency and repetition, unapologetically melodramatic and quite smitten with itself. It numbs us into submission but post-interval as the pace falters a little, the pleasures dwindle too.RRR is perfection by any means because after the way Rajamouli pulls off certain scenes, you wonder if he could've done a better job in others. But watch this one this weekend if you've been longing for a good action packed drama. Especially so if you're a fan of the lead duo.",10/10,positive
alphadude007,"RRR is an entertaining movie and is not a boring watch by any means. Rajamouli brings his usual grandeur to the movie and it is a spectacle. However, the storyline is super weak. Jr NTR's connection with the kidnapped girl is never established in the movie as a strong motive to bring down the empire. Ram's motive to kill and flay dozens of countrymen to fight against the British to get a stash of guns also is super bizzare. Lots of sequences in the movie also doesn't make sense, like Jr NTR spending months in the jungle to catch wild animals, transport them to the city, feed them for months and then unleash them on the British army? PLEASE! That was so funny. Then the main characters miraculously recovering from grave bodily blows in seconds and then doing full costume changes in a flicker? I mean, c'mon Rajamouli. Bahubali was epic cos it had a strong story to support the visuals. Here, the visuals are mediocre, story is piss poor and some of the scenes are cringe. The actors have done well though. Good chemistry and required machismo. Especially Ram Charan. Hopefully, we get such funds/resources to directors who can back up the visuals with an effective story.",6/10,positive
nathandm-75297,"RRR is one of the most critically acclaimed films of this year. It's been widely celebrated by both audiences and critics alike and is one of the most internationally successful Tollywood films of all time. My question is why?I'm not familiar at all with Tollywood/Bollywood movies. This was the first one I've seen all the way through. But prior to watching RRR, I was familiar with all of the Bollywood clichés and have seen numerous infamous clips on YouTube. They're all very over the top with their presentation and acting, they're all very long, and they all include several dance/musical numbers. But I figured since this was the first Tollywood movie to get this kind of recognition in the states that there was something different about this movie, something that stood out and there really isn't.As I was watching RRR I thought to myself, what if this was an American film and it featured the same story, the same action scenes, and the same length? I would think that this movie would be absolutely leveled by critics and audiences for being too bloated, too tonally inconsistent, having bad CGI effects, terrible pacing, underdeveloped romantic subplots, and one-dimensional villains. But I guess since this is a Tollywood movie all of those notable flaws are just fine? Do they add to the charm of this film? I don't know but I'm honestly low-key baffled by the reception that RRR is getting.And I'm also baffled by how this Tollywood film looks just like every other Indian action film that has come out for the past several years. Seriously what makes this movie so special in comparison to other Indian blockbusters?Here are a few positives I can give this film. There is some nice direction and cinematography, both of the lead actors have good chemistry, some of the action scenes are fun (some are also completely stupid) and sometimes the score is good (and sometimes it's not and very random). Clearly, Indian blockbuster films are just not for me, I'll acknowledge that. Cinema is subjective, so to the people who genuinely love this movie, I'm happy for you, but I still firmly stand by all of my criticisms for this movie and I still think it's easily the most overrated film to come out this year, by a lot.",5/10,positive
Xstal,"It strikes me that in recent times not many films coming out of traditional western studios can lay claim to being spectacular and yet, whenever I venture to the studios of India, and its array of languages, innovations and stories, the riches to be gorged upon are seldom short of extensive - and quite often spectacular. This is one such film, a jaw dropping piece of good old patriotic prowess that rips through three hours and leaves you desperate for three more. Read the reviews of others if you want to know the story, but take it from me, if overwhelming entertainment and spectacle in the grandest of ways is what sets you on fire, this is for you. On a par with anything you may have come across in the past, and sure to be replayed many times over once it gets its hooks into you, which it surely will - irresistible.",8/10,positive
Quinoa1984,"Total militaristic propaganda on a scale that is as immense in scope as a David Lean and as bloody and brutalist as Mel Gibson. It's certainly nowhere near as subtle as the former (well, duh, kids), but it also manages to be rapturously stupid it's gruesome violence than anything the latter would do. My wife with me also pointed out Zack Snyder but far superior visa vi ""here's a man with something to say... and it's LOUD and SLOW MO"" and I concur up to a point. And if you don't like British people, boys and girls have I got a smorgasbord of ""f the Brits"" for you (it's alright there's the one good lady one).But what experiencing all 187 minutes of RRR truly is - and final peppy and totally dissonant music number included that is the run time - is going to the All You Can eat buffet where you are not going to leave for like 10 hours: it's a somber and powerful war movie, a Gritty Run they the Jungle slaughter fest, a Cornball treatise on Friendship, a (at times very literally) fiery call to arms against the British or any Colonial power, a sliver of romance for good measure for Bheem, and for five to ten minutes a deliriously exciting Step Up dance-off movie. It's exhausting and crude and at times laughable (all those CGI animals oh my), and I had an absolute blast. You know what you're in for when our two heroes first meet under the bridge surrounded by fire. If you're not with it by then, leave and don't come back.I know this is not historically accurate (LOL), but who needs accuracy when the exploitation-meter needs breaks through the glass and becomes a superhero bent on saving everyone with all the guns? This is gloriously crazy but it's totally sincere. Oh, and Ray Stevenson: performance of his career! (If only Aamir Khan was here, 5 stars easy).",9/10,positive
m-ramanan,"RATED 10/10
Language: Telugu
Media Partner: Zee5
Source: Nil
HIGHLY RECOMMENDEDMovie starts with two hero introductions, that itself like full meals satisfaction...Really the trailer shown the 30% of the movie, it has much more action blocks and goosebumps moments in the movie... its real double treat. Mass moments also doubled with dual heroes... Naattu song is the cherry on top, whole theatre goes mad on this one... the interval block action sequence is real jaw dropping one, even though we can guess this one, but cant guess the scale...Second half starts with bit slow flashback, but it picks up to the peak immediately. Second half has more sentiments and more screen space for RC. RC outshines NTR in lot of places... All the action blocks are gravity defying but enjoyable.... After credit Janta song has cameo from Rajamouli. When the movie ends it was like completing the festival celebration....Exceeding expectations in all aspects....",10/10,positive
bradclayton,"RRR's strengths are easily worth suspending a little disbelief (though no more than the average blockbuster) and accepting the style of acting. If you can get past that, and if the violence isn't too much for you, you're in for a treat.There is so much more heart in this movie than anything I've seen for a long while. It's nice to see a movie employ slow motion to convey emotion rather than try to magnify action. But more than the great camera work and fantastic music (this movie sounds tremendous), RRR knows how to setup a story. From the very beginning, screentime is being used to setup payoffs later.I can see the violence being an issue for some (though, RRR is not nearly as gory as many films, but it can feel brutal at times--enough that I can't really call this a family film).One of the best films I've seen. Excellent.",9/10,positive
SAMTHEBESTEST,"RRR (2022) :
Movie Review -High and Low. No, I'm not talking about Akira Kurosawa's Japanese flick from 1963, but I'm talking about SS Rajamouli's RRR. Actually, that's the best brief for the film I can think of. SS Rajamouli has been making mass-friendly commercial films for a long time, but Bahubali brought him pan-India popularity. He became a household name and a BRAND! So naturally, anything he would do after Bahubali was meant to look smaller or look comparatively less because the bar was set too high for any filmmaker and for himself too. The same happened with Prabhas when he came after Bahubali with ""Saaho"" and ""Radhe Shyam"". Let's just accept the fact that a film like ""Bahubali : The Conclusion"" (2017) can't be made again and again. Not just because it was a Massive Blockbuster, but also because the kind of extraordinary commercial cinema it presents is almost impossible nowadays. When I saw Bahubali 2, I called it the Greatest Commercial Entertainer of this millennium after Gadar (2001). Surprisingly, these two films are the only ones in this century to sell 5 crore+ tickets in the Hindi belt. It was acceptable to see such heroic characters in Bahubali because the film is set in an ancient period, which makes it reasonable. But with RRR, it can't be held reasonable enough because the film is set in the 20th century, where you expect some humanly possible stuff. It doesn't matter how big (fictionally) your character is, it has to make some sense when it comes to on-screen persona, as we have had so many legendary personalities during this period, who have served the nation till the last drop of their blood, and it all came with human restrictions. RRR looks problematic in that sense, but if you talk about mass cinema, then RRR is simply phenomenal.RRR is a fictional tale set in the 1920s. Two Indian revolutionaries, Rama Raju (Ram Charan) and Komaram Bheem (Jr. NTR), try to fight the mighty British Empire and Nizam of Hyderabad in their own ways, which are interestingly opposite and unknown to each other. Bheem is after a little girl who has been abducted by British officer Steve (Ray Stevenson) and his wife, Lady Scott (Alison Doody), while Rama is a British cop who tries to stop him. Two powerful heroes, one fiRe and one wateR, are pitted against each other, and then you get to know about their agendas in the second half when the story unfolds the past events.RRR presents Ram Charan and Jr. NTR in never-seen-before avatars. Rajamouli makes sure that their crazy mass fan following gets enough content to have a big mass party in the cinema halls. Ram Charan enters with a 5-minute long action scene, which does look a little too extraordinary for an ordinary mind, but that's what ""mass cinema"" means, right? On the other hand, Jr. NTR has got a crazy mass entry that has a class too. That entire forest sequence will blow your mind. A good happy warning to all Tarak fans: please keep your expectations high because Bheem is going to exceed all of them. The pair of Rama and Bheem work like a fireworks display during all those large-scale action sequences. Talking about the supporting cast, especially two Hindi actors, Ajay Devgn and Alia Bhatt, both have small but important cameos. Ajay Devgn does the speaking with his intense eyes again, and in other news, the sky is blue. This man has some charisma of his own. It's only a matter of a genius filmmaker who can use it correctly. Alia Bhatt as Sita looks gorgeous in every single scene, and her character plays a vital part in the narrative. Olivia Morris sparkles the screen with her beauty, and her accent is too cute. Alison Doody is the exact opposite of that, but that's what the villainous characters do. Both Samuthirakani and Shriya Saran appear in small roles, and both pass with good grades.RRR's basic script is as good as any Telugu action drama (mind you, some call it mindless), but the screenplay doesn't match that certain level you are expecting. The second half may bore you with outdated melodrama and may cause a little irritation too. All those flaws will be forgiven when you witness the Big-screen extravaganza in 3D. The action sequences of RRR have set the benchmark for all the filmmakers in India. Rajamouli outperforms himself from wherever he has done Bahubali. That film still had battlefield references to help a bit, but RRR, despite being driven by two characters, provides a better visual spectacle than Bahubali. That's not a small thing, mind you. The music of RRR is going to create some hysteria in theatres. If you don't feel like dancing while ""Naacho Naacho,"" I'd say please consult a doctor. You are not normal. ""Dosti"" has got nice tunes for a situational song, and ""Komuram Bheemudo"" will take you all by surprise. I'm not sure if you can hear ""Raamam Raaghavam"" clearly because there will be a lot of noise, including big screams and whistles, going around at the time. But you'll ask for a repeat viewing after reaching home.It's been more than two years since we haven't had a big pan-India event film and SS Rajamouli brings back that much needed ""Big-Screen Experience"" for us. Undoubtedly, the best director in India when it comes to commercial cinema. The name is SS Rajamouli! His extraordinary vision of looking at ordinary things is what makes him better than other filmmakers in India. Bahubali was an ordinary script, but it's Rajamouli who made it an extraordinary film. No matter how many resemblances you find between it and ""The Lion King"" or its original source material, Shakespeare's Hamlet, it's a story every Indian can relate to. That's the same case with RRR, despite some flaws in the writing. But that's where Rajamouli's genius mind works overtime. He presents the high-octane mass hysteria that is sure to make the masses go crazy. The hardcore patriotism will please a certain section too. Whether it be the introduction scenes of the two lead actors or that train bridge action scene or that pre-interval rampage or even that mind-boggling climax in the forest, SS Rajamouli has outdone himself. He has reached a level that other commercial directors in Indian cinema can never reach or even dream about. Give this man a weak script and he will still make a strong mass entertainer out of it. That's what he has done with RRR. Every single viewer is going to hail him for his superlative vision of how to look at period action dramas. Every filmmaker who wants to make a great mass film should learn from him. As a whole, RRR packs a solid punch of out-and-out commercial entertainer that we have been missing since the Bahubali juggernaut. Just don't mind the below average writing, and you are going to LOVE IT!RATING - 6/10*",6/10,positive
Sleepin_Dragon,"Don't ask me for a plot, because I didn't have a clue what was happening, all I know is that I absolutely loved what I just watched.I'll admit I was captivated The other day when I watched Jai Bhim, so I decided I'd opt for another Indian movie, RRR was suggested, wow, all I can say is wow.This is one of the most spectacularly outrageous films I think I've ever seen, I loved it. As wild and over the top as you can imagine, all I'd say is please stick with it, I know it's a long film, but it's just so incredibly entertaining. I'm not sure anyone's going to convince me that anything here is based on real life events, but boy does it hold your attention.This film is violent, dramatic, shocking when funny, you honestly don't know what on Earth is going to come next.The visuals are quite sensational, it is one of the most visually decadent things I have ever seen. The tiger and wolf scene, that was mind blowing, talk about getting the pulse racing.Wow, those evil English people (even if they did have accents that were closer to Kentucky than Kent,) are really evil, they even make the British villains on Murder, she wrote seem subtle.Outrageous. 9/10.",9/10,negative
justahunch-70549,"There is no doubt that I am out of touch with most of the other reviewers here as well as critics as indicated by my falling asleep after the first hour. There is no questioning this film's technical achievements, which are many. The CGI could not be improved on as there is not a thing that does not look real in an action packed somewhat monotonous three plus hour film. This begins with a girl in India being kidnapped by a British governor due to the wishes of his horrid wife and because of that, hundreds, if not thousands, die. Throw all logic out the window with this one. Everything in this film is over-the-top. The action, the story, the characters, the violence, even the music. It is beautiful to look at, no doubt, but it is so ridiculously illogical it is sometimes just silly, though there are sequences that are pretty amazing to watch, but turn off your brain before viewing. The actors put a lot into this, especially the two leads, but their performances are just as larger than life as their characters are. Cecille B. DeMille would be envious.",6/10,negative
magadalwarmayur,"I'm not a native Telugu speaking audience so the first time i was exposed to ss rajamouli was when i saw eega that movie also i watched because i heard that ajay devgan was dubbing for the film from that day to this day you can say I'm a fanboy.RRR bleeds ss rajamouli in every frame from the action to dance to the most mundain dilogue it has what i call rajamouli pitch to the film. The filmis three hours long but it never feel like it,the editing and cinematography is awesome the only bad thing about the film is the songs are not as good as his favourite filmsThe film is casted perfectly Ram Charan has played his most wonderful character, NTR has restraint yet powerful presence to the film Alia Bhatt is graceful. All the foreign actors are well casted special mention to the Olivia moris. Ajay Devgan is awesome even in a limited screen presence i would be tempted to say he outperormed both the heros of the Film.The best thing about the film though is the action choreography and it was expected to be good but that have surpassed my expectations same goes with visual effects.The action set peieces were meticulously planned and perfectly excuted.The film will leave you with a wow and it will touch your heart one way or another.one of the most wonderful films i have seen in past few years.",10/10,positive
vjkmr-87490,"I doubt if ss Rajamouli has really directed this movie, i could see fire in ntr an he was very good but sidelined in the last hour of second half, ramcharan is ok and except for few scenes there is nothing great about this movie.",6/10,negative
abhithakur-920-942997,"Too much hype, no conviction in action, pretty ordinary storyline. Rajamouli's larger then life Bahubali image is giving it the collection and direction and visuals made the movie watchable but since I have realised how much they spent on making this movie I feel disappointed by the overall content they put up..",4/10,negative
kevscratch-932-595942,"We watched the Oscar show last week and witnessed the performance of the song from RRR. It was overwhelming and spectacular! So, we searched out RRR here at home and watched the entire movie last night. WHAT A THRILLING EXPERIENCE! I had never seen anything quite like this. The movie has everything - spectacle, action, music, dancing and singing, drama - and the list goes on! The three plus hours of its running time flew by and we finished it wanting more. Hollywood could learn alot about exciting film making from the Indian Film Industry. Now a few questions... Why was this film not nominated for quite a number of Oscars? It should have been the Indian entry in the International Film category. What about other Oscar nominations - for cinematograpy, costuming, music score, film editing etc.? We have decided to search out more Indian films available to us. It must have been a wonderful experience to see RRR in a theatre on a large screen. We highly recommend this fabulous, exciting movie.",10/10,positive
andrewchristianjr,"The action scenes were just as badass. It's so hilariously ridiculous and stupid that I loved it. It's basically a superhero movie. The two actors were also the important part that made these scenes entertaining. The story itself was not bad, even though it dragged so much during the middle part.",8/10,positive
krineshshukla,"This movie takes us to a world with emotional roller coaster ride, patriotism and strong characters. Every character has its own journey and a unique place in the story. I didn't expected VFX to be this good, I mean it was literally stunning to watch it in imax. The visual experience is what was very different from other movies.Overall this is an festival which should be celebrated by everyone.",10/10,positive
sujathakella,"Just watched #RRR. Are u going to read this review. Review less film, The Tag S. SRajamouli is enough to watch it Mind blowing, Charan,Tarak performances are Top notch , I think they gave carrer best performance. Vfx,Music, Production design every thing is Back bone of film, review is not more than this because Enjoy this master peice only in threaters....❤❤🙏🙏🙏 once again #RRR Pride of Indian cinema , Take a bow captain of the ship s.s rajamouli garu🔥🔥 4.5/5⭐
At last Dont encourage Piracy ,Enjoy those Veralevel Action Scenes only in Threaters.",9/10,positive
viccobra,"My wife is bengali, and for her, this movie just makes sense, movie sense... for me, as a Swedish person, it's a laughing stock. Sort of like watching Twillight, things make no sense, crazy, unfathomable action scenes, followed by out of place music numbers(which is par for the course).The worst part is that I can't comment on the movie while watching with her, which would give me enjoyment, just like I got enjoyment from Twillight and The Room by making fun and laughing at the movies.So, if your significant other is fine with you commenting or making fun of the movie, you will enjoy it tbh. Because there is a lot to laugh at.",6/10,positive
sujathakella-60402,"Nothing to Say in Review, Movie is Another Level, NTR ,Charan performances are soo good they deserve Many national Awards .Alia, Ajay devgan Roles are perfect , Man what a Climax DAMM Perfect Episode of whole Movie . At last Director S. SRajamouli Garu take a bow u are real indian cinema pride 4.7/5⭐ 8.7/10⭐",9/10,positive
shubhamprakashkarad,"Guys go with low expectations, This is not the movie what Rajamouli capable of... First half was good with some superb action sequences and character introduction but due to lack of story it looks bits and pieces in second half,either we can connect to emotions or to patriotism.. it's too lengthy.. but Hats off to both the actors they nailed their jobs..",6/10,positive
jace_the_film_guy,"This might be uncultured, but I usually struggle to watch films with are subtitled or dubbed. This film completely broke that precedent, as I loved every minute of it. The characters, the action, the dancing, the emotion, everything was larger than life, well-executed and mesmerizing.There were elements in this movie that I have never seen before and left me with my jaw on the floor. The film is three hours long, but every scene was necessary and added to the emotional depth of the story. The highlight of this film is the incredible chemistry and relationship between the two leads. The instant rapport and harmony between Ram and Bheem is inspiring, which makes some of the later moments so poignant.As a whole, RRR is over-the-top and big, but also subtle and real. In one moment I would be grinning ear to ear, in the next I was crying, and in the next I was gasping with excitement. Though there were elements I didn't fully understand, I can appreciate the breathtaking art of filmmaking and I am anxious to give it another watch.Note: If watching at home, I would recommend watching this film in two or three parts. An intermission is helpful.Note 2: The dancing scene is an all-timer!Note 3: If there is ever an opportunity for me to see this in theaters, I would jump on it in a second!",9/10,positive
rohith-74702,A slow movie . Felt a bit bored. 1st hour the Story did not progress much. I hope it was a bit fast with the story. Didn't live to the hype. Over hyped movie.,6/10,negative
iamkingoffical,"RRR is not even closer to bahubali, It's overhyped, at a point i feel it have too much unrealistic action and no logic. When we watch bahubali 2 first time, It can't get over from my head for 1 week... Bahubali is a godlike hero and fantasy movie and every action he do looks really even you see it many times, But bheem and ram are just normal human beings, showing them as super humans looks very unrealistic. First half is boring, When bheem meet maari at scott home at jail there is no emotion than i can feel, it's look like they are acting, Slightly comedy in some scene, In last scene ram is injured his legs and next scene he is running and jumping, It's good to watch one time but when watch again you notice many things and that's making feel worse.",3/10,positive
backup-50362,"It's brutal, ridiculous, action-packed, fun, entertaining, yet... again, brutal... Masculine. It has all these qualities modern American movies can't possibly have anymore, so no wonder this Indian movie is doing so well in the west.People needed it.And I needed this. My only real issue is that it's 3 hours long. But man, it's 3 hours packed with insane action, superb music, lots of tension, and lots of raw testosterone. It's absolutely crazy how long it's been since I've seen a movie like this.And it's not just all that - it's generally flawlessly executed. It's perfect at what it's trying to be. Great job, India. Show those weaklings how it's done. Remind them how fun and awesome movies can be.",10/10,positive
bikejune,Believe me after a long time a good movie come and you will enjoy every scene of this movie . Background music is awesome . Jr. NTR did best and ramcharan is also good . You fill goosebumps when they both come together.,10/10,positive
lahotivikas-63429,Never reason before action best movie ever. Paisa wasul. Every penny of you is worth. Such a brilliant movie. Ntr ram Charan deadly combo is worth watching. Interval bang. Never saw such interval ever in Indian cinema. Nattu nattu song what a performance omg. Action scenes next level. SSR best ever director India have ever produced. Finally it's Indian cinema pride 😍,10/10,positive
